공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
가분할면적,해당 부지나 구역 등에서 실제로 분할이 허용된 공간의 넓이,DVSB_AREA,"면적N19,9",,9999999999.999999999,"9,999,999,999.999999999",,,,8차(2025-11),,,
가산금리,금융 기관에서 기준금리에 신용도 등의 조건에 따라 덧붙이는 금리,ADTN_IRT,"율N5,2",,999.99,999.99,,,,6차(2023-11),,,
가산금액,"세금이나 공공요금 등을 납부 기한까지 내지 않은 경우, 원래 금액에 일정한 비율로 덧붙여 매기는 돈의 액수",ADTN_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,2차(2020-12),,,
가산비율,"금융 기관에서 대출, 채권 따위의 금리를 결정할 때 기준 금리에 덧붙이는 금리를 백분율로 산정한 것",ADTN_RT,"율N5,2",,999.99,999.99,,,,6차(2023-11),,,
가산세,규정한 세금을 납부하지 않았을 때 본래 부과된 금액에 일정 비율로 금액을 부과하는 세금,ADDTX,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,5차(2022-07),,,
가산월수,어떠한 일의 기준을 넘어서 추가된 개월의 수,ADTN_MM_CNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
가산일수,어떠한 일의 기준을 넘어서 추가된 날의 수,ADTN_DAY_CNT,수N7,,9999999,9999999,,,,6차(2023-11),,,
가산점수,어떠한 일의 기준을 넘어서 추가된 것을 성적으로 나타내는 점수,ADTN_SCR,수N7,,9999999,9999999,,,,6차(2023-11),,,
가산점여부,어떠한 일의 기준을 넘어서 추가된 것을 성적으로 나타내는 점수인지 여부,ADSC_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
가산차수,어떠한 일의 기준을 넘어서 추가된 주기나 경과의 시기를 나타낸 수,ADTN_CYCL,수N7,,9999999,9999999,,,,8차(2025-11),,,
가상계좌번호,상품을 구입한 고객이 대금을 입금하도록 임시로 계좌에 부여하는 식별 번호,VR_ACTNO,계좌번호V20,,20자리 이내 문자,,,,,2차(2020-12),,,
가상계좌여부,상품을 구입한 고객이 대금을 입금하도록 임시로 부여한 계좌인지 여부,VR_BACNT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
가상계좌은행명,상품을 구입한 고객이 대금을 입금하도록 임시로 계좌를 부여한 금융기관의 이름,VR_BACNT_BANK_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
가상계좌일련번호,상품을 구입한 고객이 대금을 입금하도록 임시로 부여한 계좌에 일정한 방식으로 연속되게 매긴 번호,VR_BACNT_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
가상식별번호,고유 식별 번호와 같은 정보를 직접 제공하지 않고도 식별 기능을 수행할 수 있도록 임의로 생성된 번호,VR_IDNTF_NO,번호V64,,64자리 이내 문자,,,,,8차(2025-11),,,
가속도,일의 진행에 따라 점점 더해지는 속도 또는 그렇게 변하는 속도,ACL,"수N20,9",,99999999999.999999999,99999999999.999999999,,,,8차(2025-11),,,
가수금,부기(簿記)에서 처리할 계정이 미정(未定)인 상태로 우선 받아 두는 돈,SPRCP,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
가수금잔액,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈에서 아직 정산·처리되지 않고 남아 있는 돈의 액수,SPRCP_BLNC,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가수금전표번호,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈을 거래 장부에 기록할 때 간단히 적은 쪽지에 부여하는 식별 번호,SPRCP_SLIP_NO,번호V10,,10자리 이내 문자,,,,,8차(2025-11),,,
가수금처리여부,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈을 회계상의 업무를 마무리했는지 여부,SPRCP_PRCS_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
가스사용량,가스를 쓰는 양,GAS_USQTY,"수N10,3",,9999999.999,9999999.999,,,,6차(2023-11),,,
가스사용료,가스를 사용한 대가로 사용자가 사업자에게 지급하는 요금,GAS_USFE,요금N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가압류결정일자,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보하는 일을 분명하게 정한 날짜,PRAT_DCSN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
가압류금액,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 임시로 확보한 채무자 재산의 금액,PRAT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
가압류여부,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보했는지 여부,PRAT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
가압류일련번호,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보하는 일에 일정한 방식으로 연속되게 매긴 번호,PRAT_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
가용금액,현실적으로 지출이 가능한 돈의 액수,AVL_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
가용여부,현실적으로 사용이 가능한지 여부,AVL_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
가입건수,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 건수",JOIN_NOCS,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입금액,어떤 서비스를 제공하는 상품 등에 들어갈 때 그 대상이 되는 한도가 정해진 돈의 액수,JOIN_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입번호,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등을 신청할 때 부여하는 식별 번호,JOIN_NO,번호V50,,50자리 이내 문자,,,,,8차(2025-11),,,
가입비,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 따위를 신청하기 데 들어가는 비용,MBSFE,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가입사유,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 이유",JOIN_RSN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입승인시각,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 어느 한 시점,JOIN_APRV_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
가입승인여부,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어가는 일을 승인했는지 여부",JOIN_APRV_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입승인연도,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 연도,JOIN_APRV_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,8차(2025-11),,,
가입승인연월,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 연도와 월,JOIN_APRV_YM,연월C6,"YYYY : 0001~9999, MM : 01~12",YYYYMM,YYYY-MM,,,,8차(2025-11),,,
가입승인일시,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 날짜와 시각,JOIN_APRV_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
가입승인일자,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 날짜,JOIN_APRV_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
가입시각,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 어느 한 시점",JOIN_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,5차(2022-07),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입시작일자,조직이나 단체 등에 들어가거나 서비스를 제공하는 상품 등을 신청을 시작한 날짜,JOIN_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
가입신청일시,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 날짜와 시각",JOIN_APLY_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입신청일자,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 날짜",JOIN_APLY_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입여부,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어갔는지 여부",JOIN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입일시,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 날짜와 시각",JOIN_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,3차(2021-10),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입일자,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 날짜",JOIN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,1차(2020-08),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입자명,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 사람의 이름",SBSR_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가입자수,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 사람의 수",SBSR_CNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가족관계명,주로 부부를 중심으로 친족 관계에 있는 사람들의 집단과 관련된 정보를 나타내는 이름,FAM_REL_NM,명V300,,300자리 이내 문자,,,,,7차(2024-11),,,
가족관계코드,"주로 부부를 중심으로 친족 관계에 있는 사람들의 집단 또는 그 구성원, 즉 혼인, 혈연, 입양 등 사람들의 집단과 관련된 정보를 나타내기 위한 기호 체계",FAM_REL_CD,코드C3,"001 : 본인, 002 : 처 …",3자리 문자,,가족관계,인사혁신처,,2차(2020-12),,,
가족동거여부,주로 부부를 중심으로 친족 관계에 있는 사람들의 집단이 한집에서 같이 살고 있는지 여부,FAM_CHBTN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
가족력여부,"환자의 가족이나 가까운 친척, 같이 사는 사람들의 의학적 내력이 있는지 여부",FMHST_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
가족명,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원 이름",FAM_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
가족사항,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원의 항목이나 내용",FAM_MTTR,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
가족생년월일,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원이 태어난 해와 달과 날",FAM_BRDT,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가족수,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원 수",FAM_CNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
가족수당,근로자의 생활비 보조를 목적으로 하여 부양가족의 수에 따라 기본급 외에 추가로 지급되는 수당의 액수,FAM_ALW,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
가족수당여부,근로자의 생활비 보조를 목적으로 하여 부양가족의 수에 따라 기본급 외에 추가로 지급되는 수당인지 여부,FAM_ALW_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
가족수당지급여부,근로자의 생활비 보조를 목적으로 하여 부양가족의 수에 따라 기본급 외에 추가로 지급되는 수당을 지급했는지 여부,FAM_ALW_GIVE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
가족암호화주민등록번호,"혈연, 결혼, 입양 등으로 만들어지는 공동체 구성원의 주민등록번호를 암호화한 값",FAM_ENRRNO,암호화번호V256,,256자리 이내 문자,,,,,8차(2025-11),,,
가족여부,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원인지 여부",FAM_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
가족연령,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원이 세상에 나서 살아온 햇수",FAM_AGE,수N3,,999,999,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가족일련번호,"혈연, 결혼, 입양 등으로 만들어지는 공동체에 일정한 방식으로 연속되게 매긴 번호",FAM_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,가족순번,6차(2023-11),,,
가족전화번호,"혈연, 결혼, 입양 등으로 만들어지는 공동체 구성원의 전화번호",FAM_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,7차(2024-11),,,
가족주민등록번호,"혈연, 결혼, 입양 등으로 만들어지는 공동체 구성원의 주민등록번호",FAM_RRNO,주민등록번호C13,,13자리 문자,999999-9999999,,,,6차(2023-11),,,
가중치비율,일반적으로 평균치를 산출할 때 개별치에 부여되는 중요도 또는 어떤 상품이 경제생활에서 차지하는 중요도를 백분율로 산정한 것,WGVL_RT,"율N5,2",,999.99,999.99,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가중치점수,일반적으로 평균치를 산출할 때 개별치에 부여되는 중요도 또는 어떤 상품이 경제생활에서 차지하는 중요도를 나타내는 점수,WGVL_SCR,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가중평균가격,각 가격의 중요도나 거래량 등 가중치를 반영하여 산출한 평균 가격,WGAV_PRC,가격N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가중평균금리,거래금액 또는 비중을 감안해 산출한 평균 이자율,WGAV_IRT,"율N5,2",,999.99,999.99,,,,8차(2025-11),,,
가지급금액,정한 날보다 앞당겨 임시로 지급하는 돈의 액수,PRVPY_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,가지불금액,6차(2023-11),,,
가축전염병명,가축이 걸리는 돌림병의 이름,LVST_IFDS_NM,명V100,,100자리 이내 문자,,,농림축산식품부,,8차(2025-11),,,
가해자명,"다른 사람의 생명이나 신체, 재산, 명예 따위에 해를 끼친 사람의 이름",ASLNT_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
가해자상세주소,"다른 사람의 생명이나 신체, 재산, 명예 따위에 해를 끼친 사람이 자리한 곳의 동번호, 층수 또는 호수가 나타난 주소",ASLNT_DADDR,상세주소V200,,200자리 이내 문자,,,,,7차(2024-11),,,
